Temperature,Humidity,Wind_Speed,Cloud_Cover,Pressure,Rain
28,88,32,90,1002,Y
27,90,35,92,1001,Y
29,87,30,88,1003,Y
28,85,33,91,1000,Y
27,89,34,93,1002,Y
28,86,31,89,1001,Y
29,88,36,92,1000,Y
27,90,33,94,999,Y
28,87,32,90,1001,Y
29,88,34,91,1000,Y
28,89,31,92,1001,Y
27,91,35,94,999,Y
29,87,33,90,1002,Y
28,88,34,91,1000,Y
27,90,36,95,998,Y
28,86,32,89,1001,Y
29,88,33,92,1000,Y
27,89,34,93,999,Y
28,87,31,90,1001,Y
29,90,35,94,998,Y
28,88,32,91,1000,Y
27,91,36,95,997,Y
29,87,34,90,1001,Y
28,88,33,92,1000,Y
27,90,35,93,998,Y
28,86,31,89,1002,Y
29,88,34,91,1000,Y
27,89,33,92,999,Y
28,90,35,94,998,Y
29,88,36,95,997,Y
